Day,S                 ,E                    ,I                    ,R
0  ,99.0              ,1.0                  ,0.0                  ,0.0
1  ,99.0              ,0.5                  ,0.5                  ,0.0
2  ,98.5545           ,0.6955               ,0.65                 ,0.1
3  ,97.977956175      ,0.9242938250000001   ,0.86775              ,0.23
4  ,97.2127728317623  ,1.2273302557377064   ,1.1563469125         ,0.40355
5  ,96.20106762428614 ,1.6253703353450033   ,1.5387426578688532   ,0.6348193825
6  ,94.868809445912   ,2.14494334604664     ,2.043679293967584    ,0.9425679140737707
7  ,93.1238766523403  ,2.8174044665950206   ,2.707415108197387    ,1.3513037728672876
8  ,90.8547517370982  ,3.677827148539615    ,3.57463431985542     ,1.8927867945067651
9  ,87.93179911396582 ,4.761866197402183    ,4.698621030154143    ,2.607713658477849
10 ,84.2133753091403  ,6.099356903526615    ,6.139829922824406    ,3.547437864508678
11 ,79.55987309451439 ,7.703180666389223    ,7.9615423900228315   ,4.775403849073559
12 ,73.85909937483306 ,9.55236405287593     ,10.220824245212876   ,6.3677123270781255
13 ,67.06499151225414 ,11.570289889016895   ,12.952841422608266   ,8.4118771761207
14 ,59.246851711652965,13.603284745109622   ,16.14741808259506    ,11.002445460642354
15 ,50.6366985496628  ,15.411795534544972   ,19.719576838630857   ,14.231929077161366
16 ,41.64989013852083 ,16.692706178414454   ,23.48155923817717    ,18.175844444887538
17 ,32.8478508755596  ,17.148392352168457   ,27.13160047974896    ,22.872156292522973
18 ,24.826917976393105,16.595129075250725   ,30.2794765598834     ,28.298476388472764
19 ,18.06120324811002 ,15.063279265908449   ,32.521145785532084   ,34.35437170044945
20 ,12.774864033064816,12.817978847999427   ,33.54855626137989    ,40.858600857555864
21 ,8.917659830362034 ,10.266193626702496   ,33.24783443310363    ,47.568312109831844
22 ,6.249223932226491 ,7.80153271148679     ,31.73136435983415    ,54.21787899645257
23 ,4.464556318189422 ,5.685433969780464    ,29.285857843610714   ,60.5641518684194
24 ,3.287821063165817 ,4.0194522399138375   ,26.2714032597788     ,66.42132343714154
25 ,2.5104400061980026,2.7871071769247333   ,23.02684872777996    ,71.6756040890973
26 ,1.990172305832007 ,1.913821288828362    ,19.815032570686334   ,76.2809738346533
27 ,1.6352543442799548,1.3118286059662334   ,16.808936700963248   ,80.24398034879056
28 ,1.3878723634131624,0.903296283849909    ,14.103063663753716   ,83.6057676889832
29 ,1.211713092727741 ,0.627807412610376    ,11.734099072927927   ,86.42638042173395
